Rating,No. of Ppl,Divide,Value,Fees
100,16,0.000508308,0.008132922,100
98,76,0.002414461,0.183499063,350
100,4,0.000127077,0.000508308,250
98,14,0.000444769,0.006226769,200
79,8,0.000254154,0.002033231,400
100,4,0.000127077,0.000508308,150
100,7,0.000222385,0.001556692,100
100,46,0.001461385,0.067223687,500
95,6,0.000190615,0.001143692,250
97,60,0.001906154,0.114369222,500
97,18,0.000571846,0.01029323,500
88,2,6.35385E-05,0.000127077,500
90,2,6.35385E-05,0.000127077,300
80,3,9.53077E-05,0.000285923,100
100,21,0.000667154,0.01401023,500
100,7,0.000222385,0.001556692,500
93,42,0.001334308,0.056040919,400
36,7,0.000222385,0.001556692,600
97,65,0.002065,0.13422499,400
99,54,0.001715538,0.09263907,500
100,43,0.001366077,0.058741303,200
78,24,0.000762461,0.018299076,500
99,44,0.001397846,0.061505226,500
87,3,9.53077E-05,0.000285923,350
93,9,0.000285923,0.002573307,500
97,47,0.001493154,0.070178225,600
99,43,0.001366077,0.058741303,100
94,7,0.000222385,0.001556692,250
99,33,0.001048385,0.03459669,200
100,51,0.001620231,0.082631763,100
98,18,0.000571846,0.01029323,300
90,23,0.000730692,0.016805922,350
100,3,9.53077E-05,0.000285923,300
96,30,0.000953077,0.028592305,100
90,13,0.000413,0.005369,500
95,84,0.002668615,0.224163675,100
82,15,0.000476538,0.007148076,200
95,18,0.000571846,0.01029323,600
90,55,0.001747308,0.096101916,100
100,9,0.000285923,0.002573307,350
89,11,0.000349462,0.003844077,500
100,2,6.35385E-05,0.000127077,100
96,20,0.000635385,0.012707691,750
86,15,0.000476538,0.007148076,800
100,1,3.17692E-05,3.17692E-05,200
100,9,0.000285923,0.002573307,300
100,5,0.000158846,0.000794231,300
100,17,0.000540077,0.009181307,200
100,4,0.000127077,0.000508308,500
100,3,9.53077E-05,0.000285923,100
95,5,0.000158846,0.000794231,600
80,3,9.53077E-05,0.000285923,400
95,67,0.002128538,0.142612066,400
83,3,9.53077E-05,0.000285923,200
100,48,0.001524923,0.073196302,200
96,15,0.000476538,0.007148076,100
93,11,0.000349462,0.003844077,200
100,11,0.000349462,0.003844077,500
98,4,0.000127077,0.000508308,100
88,9,0.000285923,0.002573307,300
76,4,0.000127077,0.000508308,400
92,12,0.000381231,0.004574769,100
85,1,3.17692E-05,3.17692E-05,100
92,20,0.000635385,0.012707691,800
96,48,0.001524923,0.073196302,450
97,40,0.001270769,0.050830765,300
56,17,0.000540077,0.009181307,100
96,2,6.35385E-05,0.000127077,100
97,39,0.001239,0.048320996,500
80,4,0.000127077,0.000508308,300
100,13,0.000413,0.005369,100
93,6,0.000190615,0.001143692,300
100,15,0.000476538,0.007148076,800
94,15,0.000476538,0.007148076,500
93,1,3.17692E-05,3.17692E-05,400
100,6,0.000190615,0.001143692,300
98,57,0.001810846,0.103218223,400
100,68,0.002160308,0.146900912,300
99,18,0.000571846,0.01029323,200
93,2,6.35385E-05,0.000127077,500
100,3,9.53077E-05,0.000285923,200
96,60,0.001906154,0.114369222,500
100,3,9.53077E-05,0.000285923,150
94,51,0.001620231,0.082631763,400
97,12,0.000381231,0.004574769,500
100,17,0.000540077,0.009181307,950
56,4,0.000127077,0.000508308,600
95,28,0.000889538,0.024907075,600
92,3,9.53077E-05,0.000285923,300
88,24,0.000762461,0.018299076,800
68,12,0.000381231,0.004574769,400
100,4,0.000127077,0.000508308,200
100,13,0.000413,0.005369,300
94,34,0.001080154,0.036725228,500
91,5,0.000158846,0.000794231,600
98,29,0.000921308,0.026717921,350
96,13,0.000413,0.005369,100
100,17,0.000540077,0.009181307,300
98,34,0.001080154,0.036725228,300
96,13,0.000413,0.005369,300
60,1,3.17692E-05,3.17692E-05,400
85,9,0.000285923,0.002573307,500
100,15,0.000476538,0.007148076,400
100,20,0.000635385,0.012707691,500
100,6,0.000190615,0.001143692,430
96,19,0.000603615,0.011468691,600
83,1,3.17692E-05,3.17692E-05,150
85,4,0.000127077,0.000508308,100
100,10,0.000317692,0.003176923,100
100,46,0.001461385,0.067223687,800
85,50,0.001588461,0.079423071,500
