"Qualification","Experience","Place","Profile","Fees","Qual","nyear","nplace","nprof","city","targetdata_Ayurveda","targetdata_Dentist","targetdata_Dermatologists","targetdata_ENT Specialist","targetdata_General Medicine","targetdata_Homeopath","targetdata_ Bangalore","targetdata_ Chennai","targetdata_ Coimbatore","targetdata_ Delhi","targetdata_ Ernakulam","targetdata_ Hyderabad","targetdata_ Mumbai","targetdata_ Sector 5","targetdata_ Thiruvananthapuram","targetdata_unknown"
"BHMS, MD - Homeopathy","24 years experience","Kakkanad, Ernakulam","Homeopath",100,2,24,5,6," Ernakulam",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"BAMS, MD - Ayurveda Medicine","12 years experience","Whitefield, Bangalore","Ayurveda",350,2,12,1,1," Bangalore",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"MBBS, MS - Otorhinolaryngology","9 years experience","Mathikere - BEL, Bangalore","ENT Specialist",300,2,9,1,4," Bangalore",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"BSc - Zoology, BAMS","12 years experience","Bannerghatta Road, Bangalore","Ayurveda",250,2,12,1,1," Bangalore",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"BAMS","20 years experience","Keelkattalai, Chennai","Ayurveda",250,1,20,2,1," Chennai",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"BAMS","8 years experience","Porur, Chennai","Ayurveda",100,1,8,2,1," Chennai",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"BHMS","42 years experience","Karol Bagh, Delhi","Homeopath",200,1,42,4,6," Delhi",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"BDS","10 years experience","Arekere, Bangalore","Dentist",200,1,10,1,2," Bangalore",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"MBBS, MD - General Medicine","14 years experience","Old City, Hyderabad","General Medicine",100,2,14,6,5," Hyderabad",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"BSc, BDS","23 years experience","Athani, Ernakulam","Dentist",100,2,23,5,2," Ernakulam",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"MBBS, MS, DNB - ENT","5 years experience","Thousand Lights, Chennai","ENT Specialist",700,3,5,2,4," Chennai",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"BAMS","7 years experience","Somajiguda, Hyderabad","Ayurveda",100,1,7,6,1," Hyderabad",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"BDS, MDS","9 years experience","Coimbatore Racecourse, Coimbatore","Dentist",200,2,9,3,2," Coimbatore",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"BDS, MDS - Oral & Maxillofacial Surgery","21 years experience","Jubilee Hills, Hyderabad","Dentist",350,2,21,6,2," Hyderabad",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"MBBS, Diploma in Otorhinolaryngology (DLO), DNB - ENT","12 years experience","Kondli, Delhi","ENT Specialist",500,3,12,4,4," Delhi",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"MBBS, MD - General Medicine","10 years experience","Saroor Nagar, Hyderabad","General Medicine",200,2,10,6,5," Hyderabad",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"MBBS, Diploma in Otorhinolaryngology (DLO)","24 years experience","Tambaram West, Chennai","ENT Specialist",100,2,24,2,4," Chennai",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"MBBS, MF- Homeopathy","5 years experience","Purasawakkam, Chennai","Homeopath",300,2,5,2,6," Chennai",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"MBBS, MS - ENT","19 years experience","KPHB, Hyderabad","ENT Specialist",400,2,19,6,4," Hyderabad",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"MBBS","19 years experience","HSR Layout, Bangalore","General Medicine",150,1,19,1,5," Bangalore",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"MDS, DNB, BDS","21 years experience","Pollachi, Coimbatore","Dentist",100,3,21,3,2," Coimbatore",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
