"Qualification","Quali"
"BHMS, MD - Homeopathy",4
"BAMS, MD - Ayurveda Medicine",4
"MBBS, MS - Otorhinolaryngology",4
"BSc - Zoology, BAMS",3
"BAMS",3
"BAMS",3
"BHMS",3
"BDS",3
"MBBS, MD - General Medicine",4
"BSc, BDS",3
"MBBS, MS, DNB - ENT",4
"BAMS",3
"BDS, MDS",4
"BDS, MDS - Oral & Maxillofacial Surgery",4
"MBBS, Diploma in Otorhinolaryngology (DLO), DNB - ENT",3
"MBBS, MD - General Medicine",4
"MBBS, Diploma in Otorhinolaryngology (DLO)",3
"MBBS, MF- Homeopathy",4
"MBBS, MS - ENT",4
"MBBS",3
"MDS, DNB, BDS",4
"MBBS, DNB - ENT",3
"MBBS",3
"MBBS, Fellowship of College of General Practice (FCGP)",3
"MBBS, DDVL",3
"BDS",3
"MBBS, IBCLC (USA)",3
"MBBS, MD - General Medicine, Post Graduate Diploma in Diabetology (PGDD)",4
"BDS, MDS",4
"Diploma in Dermatology, MBBS",3
"MBBS, DDVL, Fellowship in Aesthetic Medicine",3
"BDS",3
"MBBS, MS - ENT",4
"DM - Neurology, MD - Pediatrics, MBBS",4
"BAMS",3
"BDS, MDS - Oral & Maxillofacial Surgery, Fellowship in Cleft Lip and Craniofacial Surgery",4
"BDS",3
"BHMS, Diploma in Cosmetology",3
"MBBS, MS - ENT, DNB - ENT",4
"MBBS, AFIH",3
"BDS, MDS - Prosthodontist And Crown Bridge",4
"BHMS, M. D. Hom. (Practice of Medicine)",4
"BAMS, Diploma in Emergency Medicine, Diploma in Counselling Skills",3
"BAMS",3
"MD - Homeopathy, DHMS (Diploma in Homeopathic Medicine and Surgery)",4
"MBBS, MD - Dermatology , Venereology & Leprosy",4
"BDS, MDS - Oral and Maxillofacial Pathology",4
"MBBS",3
"MBBS, DDVL",3
"BDS, MDS - Oral & Maxillofacial Surgery, MFDS RCS",4
"MBBS",3
"BAMS",3
"MBBS, DDVL",3
"BDS",3
"BAMS",3
"MBBS, MS - ENT, MRCS (UK)",4
"BDS",3
"MBBS, MD - Dermatology , Venereology & Leprosy, FRGUHS, Fellowship in Dermatological Laser Surgery",4
"MBBS, Member of the Royal College of Physicians, UK (MRCP UK), DNB, MNAMS- Family Medicine, MD - Medicine",4
"MBBS, MD - General Medicine",4
"MBBS, MD - Dermatology , Venereology & Leprosy",4
"BDS, MDS",4
"MDS - Prosthodontist And Crown Bridge, BDS",4
"BHMS",3
"BHMS",3
"BHMS, MS - Psychology",4
"MDS - Oral & Maxillofacial Surgery, BDS",4
"MBBS, DDVL, MD - Dermatology , Venereology & Leprosy",4
"BHMS, Diploma In Skin Aesthetics",3
"MBBS, MS - ENT",4
"MDS - Periodontology and Oral Implantology, Certificate in Cosmetic Dentistry, Post Graduate Certificate in Endodontics (PGCE), BDS, Fellow of Academy of General Education (FAGE)",4
"MBBS, MS - Otorhinolaryngology",4
"BHMS",3
"MBBS",3
"MBBS, MD - Dermatology",4
"MBBS, MD - Rheumatology",4
"BDS, MDS - Prosthodontist And Crown Bridge",4
"BDS, MDS - Paedodontics And Preventive Dentistry",4
"MD - Dermatology, MBBS",4
"MDS-Oral Pathology and Oral Microbiology, BDS",4
"MBBS, MD - General Medicine, FRCP, Doctor of Science (DSc.), D.LITT - Diabetology",4
"BDS",3
"BAMS",3
"MBBS, DDV",3
"BDS, MDS - Conservative Dentistry & Endodontics",4
"MBBS, MD - General Medicine",4
"BDS, MDS - Conservative Dentistry & Endodontics, FICD",4
"MBBS, MD - Dermatology , Venereology & Leprosy",4
"MD - Dermatology , Venereology & Leprosy",4
"MBBS",3
"BAMS, Post Graduate Diploma in Emergency Services (PGDEMS)",4
"Get inspired by remarkable stories of people like you",0
"BAMS, MD - Acupuncture, Master of Hospital Administration, MS - Psychology",4
"BDS, MDS - Periodontology and Oral Implantology",4
"BDS, MDS - Conservative Dentistry & Endodontics, Fellow of Academy of General Education (FAGE), BA",4
"BHMS",3
"MD - Dermatology , Venereology & Leprosy, MBBS",4
"MBBS, DDVL",3
"BAMS",3
"BDS, MDS - Periodontics",4
"BHMS, MD - Homeopathy",4
"BDS, PGD in Endodontics",4
"BDS, MDS - Pedodontics",4
"BDS, MDS - Periodontology and Oral Implantology",4
"PhD - Orthodontics & Dentofacial Orthopaedics, MOrth",5
"MBBS, FRCP",3
"MBBS, MS - Otorhinolaryngology",4
"BDS, MDS - Periodontics",4
"BAMS, MS - Ayurveda",4
"BDS",3
"MRCPS, MBBS",4
"BAMS",3
"MBBS, Diploma in Dermatology",3
"BDS, P.G Diploma in Aesthetic Dentistry",4
"MDS - Conservative Dentistry & Endodontics, BDS",4
"MBBS, MD - General Medicine",4
"BDS",3
"MBBS, DDV",3
"BDS",3
"MD - Ayurveda Medicine, BAMS",4
"BAMS, MS - Ayurveda",4
"BHMS",3
"BHMS",3
"BHMS",3
"MBBS, Diploma in Otorhinolaryngology (DLO)",3
"MBBS, DDV",3
